LSOA11CD,LSOA11NM,crime_sum
E01000840,Bromley 030G,43
E01000841,Bromley 030H,59
E01000842,Camden 011A,66
E01000843,Camden 014A,125
E01000844,Camden 011B,107
E01000845,Camden 014B,161
E01000846,Camden 014C,87
E01000847,Camden 014D,200
E01000848,Camden 011C,116
E01000849,Camden 011D,129
E01000850,Camden 026A,1391
E01000851,Camden 026B,468
E01000852,Camden 026C,536
E01000853,Camden 025A,295
E01000854,Camden 026D,1177
E01000855,Camden 028A,1447
E01000856,Camden 019A,322
E01000857,Camden 018A,89
E01000858,Camden 018B,646
E01000859,Camden 018C,168
E01000860,Camden 018D,90
E01000861,Camden 019B,441
E01000862,Camden 018E,404
E01000863,Camden 021A,1914
E01000864,Camden 015A,205
E01000865,Camden 015B,221
E01000866,Camden 009A,202
E01000867,Camden 015C,131
E01000868,Camden 015D,84
E01000869,Camden 015E,162
E01000870,Camden 009B,178
E01000871,Camden 005A,131
E01000872,Camden 005B,226
E01000873,Camden 005C,102
E01000874,Camden 005D,58
E01000875,Camden 013A,142
E01000876,Camden 013B,152
E01000877,Camden 005E,92
E01000878,Camden 004A,44
E01000879,Camden 004B,108
E01000880,Camden 004C,71
E01000881,Camden 008A,86
E01000882,Camden 008B,85
E01000883,Camden 008C,162
E01000884,Camden 004D,61
E01000885,Camden 004E,73
E01000886,Camden 006A,119
E01000887,Camden 006B,143
E01000888,Camden 006C,125
E01000889,Camden 007A,106
E01000890,Camden 007B,82
E01000891,Camden 007C,205
E01000892,Camden 006D,134
E01000893,Camden 002A,85
E01000894,Camden 002B,134
E01000895,Camden 002C,209
E01000896,Camden 002D,104
E01000897,Camden 008D,86
E01000898,Camden 008E,385
E01000899,Camden 002E,142
E01000900,Camden 012A,146
E01000901,Camden 007D,200
E01000902,Camden 012B,137
E01000903,Camden 006E,132
E01000904,Camden 012C,420
E01000905,Camden 012D,162
E01000906,Camden 012E,162
E01000907,Camden 001A,119
E01000908,Camden 001B,109
E01000909,Camden 001C,121
E01000910,Camden 003A,111
E01000911,Camden 003B,87
E01000912,Camden 001D,201
E01000913,Camden 001E,350
E01000914,Camden 028B,1511
E01000915,Camden 027A,253
E01000916,Camden 027B,438
E01000917,Camden 027C,228
E01000918,Camden 028C,1020
E01000919,Camden 028D,1405
E01000920,Camden 027D,273
E01000921,Camden 003C,332
E01000922,Camden 007E,284
E01000923,Camden 003D,67
E01000924,Camden 009C,120
